,Generated Text,Actual Text
0,"2-1/ 2 cups rice - cooked, 3 tomatoes, 3 teaspoons BC Belle Bhat powder, salt - as per taste - as per taste - 1 teaspoon chickpea lentils, 1/2 teaspoon cumin seeds, 1/2 teaspoon white urad dal, 1/2 Teaspoon mustard, 1 green chilli, 1 dry red chilli, 2 teaspoon cashew - or peanuts, 1-1/ 2 tablespoon oil - 1/2 teaspoon asafoetida - or peanuts, 1 teaspoon cashews","title: Spicy Tomato Rice (Recipe) section> ingredients: 2-1 / 2 cups rice - cooked sep> 3 tomatoes sep> 3 teaspoons BC Belle Bhat powder sep> salt - as per taste sep> 1 teaspoon chickpea lentils sep> 1/2 teaspoon cumin seeds sep> 1 teaspoon white urad dal sep> 1/2 Teaspoon mustard sep> 1 green chilli sep> 1 dry red chilli sep> 2 teaspoon cashew - or peanuts sep> 1-1 / 2 tablespoon oil - 1/2 teaspoon asafoetida section> directions: To make tomato puliogere, first cut the tomatoes sep> Now put in a mixer grinder and puree it sep> Now heat oil in a pan sep> After the oil is hot, add chana dal, urad dal, cashew and let it cook for 10 to 20 seconds sep> After 10 to 20 seconds, add cumin seeds, mustard seeds, green chillies, dry red chillies and curry leaves sep> After 30 seconds, add tomato puree to it and mix sep> Add BC Belle Bhat powder, salt and mix it sep> Allow to cook for 7 to 8 minutes and then turn off the gas sep> Take it out in a bowl, add cooked rice and mix it sep> Serve hot sep> Serve tomato puliogre with tomato cucumber raita and papad for dinner sep>"
1,"1-1/2 cups Rice Vermicelli Noodles (Thin),1 Onion - sliced,1/2 cup Carrots (Gajjar) chopped,1/3 cup Green peas (Matar),2 Green Chillies,1/4 teaspoon Asafoetida (hing),1 teaspoon Mustard seeds,1 teaspoon White Urad Dal (Split),1 teaspoon Ghee,1 sprig Curry leaves, Salt - to taste,1 teaspoon Lemon juice and 1 teaspoon Lemon juice.","title: Ragi Semiya Upma Recipe - Ragi Millet Vermicelli Breakfast section> ingredients: 1-1/2 cups Rice Vermicelli Noodles (Thin) sep> 1 Onion - sliced sep> 1/2 cup Carrots (Gajjar) - chopped sep> 1/3 cup Green peas (Matar) sep> 2 Green Chillies sep> 1/4 teaspoon Asafoetida (hing) sep> 1 teaspoon Mustard seeds sep> 1 teaspoon White Urad Dal (Split) sep> 1 teaspoon Ghee sep> 1 sprig Curry leaves sep> Salt - to taste sep> 1 teaspoon Lemon juice section> directions: To begin making the Ragi Vermicelli Recipe, first steam the ragi vermicelli in a rice cooker or a steamer for about 5-6 minutes or till it is cooked but firm sep> Keep aside this aside till later use sep> You can add a few drops of oil and mix it so that they don't stick to each other sep> Place a kadai on the heat, add the ghee or oil to it and when warm add hing and allow it to sizzle for 30 seconds sep> Then follow it up with mustard seeds, urad dal and curry leaves, and allow them to crackle sep> Saute for 1 minute or so till the urad dal is slightly browned sep> Then, add onions and fry till translucent and soft sep> Next, add the green chillies along with par boiled carrots and peas sep> Sprinkle some salt and cook for 2-3 minutes or until the vegetables are semi cooked sep> Then, add the steamed ragi vermicelli toss it together so the vegetables are all well combined sep> Switch off the heat, take the vermicelli out into a serving dish and to with lemon juice sep> Mix well and serve along with Coconut Chutney and a hot cup of coffee or tea for a wholesome breakfast sep>"
2,"5 Potatoes (Aloo) - halved with skin, 2 teaspoon Fennel seeds (Saunf) - crushed, 2 teaspoon Red Chilli powder, 1 teaspoon Turmeric powder (Haldi), 1/4 cup Fresh cream - or 1/2 cup milk - 4 sprig Coriander (Dhania) Leaves - finely chopped.","title: Saunf Aloo (Fennel Potato Curry) Recipe section> ingredients: 5 Potatoes (Aloo) - halved with skin sep> 2 teaspoon Fennel seeds (Saunf) - crushed sep> 2 teaspoon Red Chilli powder sep> 1 teaspoon Turmeric powder (Haldi) sep> 1/4 cup Fresh cream - or 1/2 cup milk sep> 4 sprig Coriander (Dhania) Leaves - finely chopped section> directions: To begin with Saunf Aloo, heat oil in a pressure cooker sep> Add turmeric powder, salt, red chilli powder and crushed fennel seeds till the fennel seeds turns golden in colour sep> Now add the potatoes and mix it properly with the masala sep> Sauce it for 2-3 minutes and then add enough water to cover the potatoes in the cooker sep> Switch the heat after two whistles and once the pressure is released, open the lid of the pressure cooker sep> The next step is to add the cream or milk and mash a few potatoes to get a thicker consistency sep> Let it cook for 5 more minutes or until the cooker releases 2 more whistles sep> Garnish the Saunf Aloo with some roasted saunf and chopped coriander sep> Serve Sauf Aloo along with Amritsari Dal and Whole Wheat lachha Paratha for a weekday meal sep>"
3,"8 amla, 6 small onions, 10 bud garlic, 2 green chillies, 1/2 cup mint, 1/2 cup coriander, salt - as per taste. 1tsp oil, 1tsp oil, 1/2 tsp rye, 1/4 tsp urad dal, 1/4 tsp chana dal, 1sprig curry leaves and 10 cashew nuts.","title: Garlic Amla Chutney Recipe - Lehsun Amla Chutney Recipe section> ingredients: 8 amla sep> 6 small onions sep> 10 bud garlic sep> 2 green chillies sep> 1/2 cup mint sep> 1/2 cup coriander sep> salt - as per taste sep> 1 tsp oil sep> 1 tsp oil sep> 1/2 tsp rye sep> 1/4 tsp urad dal sep> 1/4 tsp chana dal sep> 1 sprig curry leaves sep> 10 cashew nuts section> directions: To make Garlic Amla Chutney Recipe, first wash the amla, cut and remove the seeds sep> Now wash the mint, green coriander and keep it aside sep> Now heat oil in a pan sep> Add small onion, garlic and cook the onion after it becomes soft sep> Now add amla, mint, green coriander and cook it for 2 minutes sep> Turn off the gas sep> Allow this mixture to cool sep> Pour this mixture in the mixer grinder with salt, a little water and make a paste sep> Keep it separately sep> For tempering, now heat oil in a tempering pan sep> Add the mustard seeds, chana dal, urad dal, curry leaves, cashews and cook until cashew is light brown sep> Add this tempering to the chutney and mix sep> Mix well and serve sep> Serve Garlic Amla Chutney Recipe with Ghee Roast Dosa and Filter Coffee for breakfast sep>"
4,"1/2 cup Gram flour (besan),1/2 cup Whole Wheat Flour,1/4 cup Rice flour,1 Cucumber - peeled and grated. 1 teaspoon Turmeric powder (Haldi), 1 teaspoon Cumin powder (Jeera), 1 teaspoon Coriander Powder (Dhania), 1 teaspoon Red Chilli powder (Dhania) Leaves - chopped,5 cloves Garlic - finely chopped.","title: Maharashtrian Kakdi Thalipeeth Recipe - Spiced Cucumber Flat Bread section> ingredients: 1/2 cup Gram flour (besan) sep> 1/2 cup Whole Wheat Flour sep> 1/4 cup Rice flour sep> 1 Cucumber - peeled and grated sep> 1 teaspoon Turmeric powder (Haldi) sep> 1 teaspoon Cumin powder (Jeera) sep> 1 teaspoon Coriander Powder (Dhania) sep> 1 teaspoon Red Chilli powder sep> 2 Green Chillies - finely chopped sep> 1/2 cup Coriander (Dhania) Leaves - chopped sep> 5 cloves Garlic - finely chopped sep> Salt - to taste sep> Ghee - for smearing on thalipeeth section> directions: To begin making the Maharashtrian Kakdi Thalipeeth Recipe, in a large mixing bowl add all the 3 flours together and mix them sep> Add all the remaining ingredients like the grated cucumber, turmeric powder, cumin powder, coriander powder, red chili powder, green chillies, coriander leaves, garlic and salt to taste sep> Mix everything well and add a little water at a time to make a smooth and firm dough of the Kakdi Thalipeeth sep> The cucumber will release water when it gets combined with salt, so take care to add little water at a time sep> The dough will be slightly sticky to handle sep> Allow the dough to rest for 5 minutes sep> Divide the dough into 4 portions sep> Preheat the skillet on medium heat sep> Keep water in a separate bowl to wet fingers and to wet a muslin cloth sep> Spread a wet muslin cloth on a smooth counter top sep> Take a portion of the Kakdi Thalipeeth mixture and pat it on the wet cloth to about 4 inches in diameter sep> Try not to make it too thin as it can break while flipping it on the skillet sep> Carefully lift the cloth along with the patted mixture and flip the Thalipeeth over on the skillet sep> Drizzle a teaspoon of oil or ghee around the Thalipeeth and cook on medium heat sep> After about 3 minutes, you will be able to flip the Kakdi Thalipeeth over to the other side sep> Allow each side to cook on medium heat for about 3-4 minutes, until the Thalipeeth are slightly crisp and browned sep> Remove from heat and place on a serving platter sep> Continue the same procedure with the other portions of the Kakdi Thalipeeth dough sep> Serve the Maharashtrian Kakdi Thalipeeth along with Homemade Yogurt or lahsun chutney for breakfast sep>"
5,"5 Drumstick - cut into 3 inch pieces,1/2 cup Fresh coconut - grated,2 Green Chillies - slit,1 teaspoon Mustard seeds,2 teaspoons Coconut Oil,2 Dry Red Chillies,1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,Water - as needed.","title: South Indian Style Murungakkai Poriyal Recipe - Drumstick Stir Fry section> ingredients: 5 Drumstick - cut into 3 inch pieces sep> 1/2 cup Fresh coconut - grated sep> 2 Green Chillies - slit sep> 1 sprig Curry leaves sep> 1 teaspoon Mustard seeds sep> 2 teaspoons Coconut Oil sep> 2 Dry Red Chillies sep> 1/2 teaspoon Turmeric powder (Haldi) sep> Salt - to taste sep> Water - as needed section> directions: To begin making Murungakkai Poriyal Recipe, wash the drumsticks well & peel them by removing the tough green part sep> Cut them in 2 inches length sep> Take about glass of water in a kadhi, bring it to a boil, add these drumsticks with salt, turmeric powder (optional) & lightly steam them for 5-8 minutes sep> Be careful not to overcook the drumsticks sep> It should be tender but not mushy as in sambar or avial sep> Drain the water, keep the steamed drumsticks aside to cool slightly sep> Grate the coconut, add the green chillies & grind them well in a mixer sep> In the kadai, add coconut oil, once hot, add the mustard seeds, let it crackle sep> Then add the dry red chillies, curry leaves & add the steamed drumsticks sep> Mix everything well & let it cook for a minute sep> Add the grated coconut & give it one last stir sep> Serve Murungakkai Poriyal Recipe along with Kerala Avial Recipe, Steamed Rice Recipe and Malabar Style Dates Pickle Recipe for a complete meal sep>"
6,"300 grams Green beans (French Beans) - cut into half,3 cloves Garlic - finely chopped,1 tablespoon Soy sauce,2 tablespoons Thai Sweet Chilli Sauce,1 Lemon - juice,2 tablespoons Rice Wine Vinegar,1/4 cup Roasted Peanuts (Moongphali),Salt - to taste,1 tablespoon Sesame (Gingelly) Oil. 300 grams Green beans (French Beans) - cut into half,3 cloves","title: Asian Style Sweet & Spicy Green Beans Recipe section> ingredients: 300 grams Green beans (French Beans) - cut into half sep> 3 cloves Garlic - finely chopped sep> 1 tablespoon Soy sauce sep> 2 tablespoons Thai Sweet Chilli Sauce sep> 1 Lemon - juice sep> 2 tablespoons Rice Wine Vinegar sep> 1/4 cup Roasted Peanuts (Moongphali) sep> Salt - to taste sep> 1 tablespoon Sesame (Gingelly) Oil section> directions: To begin making the Asian Style Sweet & Spicy Green Beans Recipe, firstly add the green beans into a pressure cooker with salt to taste and 2 tablespoons of water sep> Pressure cook the beans for one whistle and release the pressure immediately and keep aside sep> We release the pressure immediately, so the greens remain green and fresh,Our next step is to stir fry the green beans in Asian sauces sep> Preheat heat oil in a pan over medium heat; once the oil is hot add the cloves and saute for a few seconds until the aromas come through sep> At this stage, add the soy sauce, thai sweet chilli sauce, rice wine vinegar, and lemon juice and stir to combine sep> Add the cooked beans and roasted peanuts to the above sauce mixture sep> Stir fry on high heat for 3 to 4 minutes till the beans and the peanuts are well coated with the sweet and spicy sauce sep> Once done, check the salt and spices and adjust to taste accordingly sep> Once done, turn off the heat and transfer the Asian Style Sweet & Spicy Green Beans to a serving bowl and serve hot sep> Serve Asian Style Sweet & Spicy Green Beans Recipe with steaming hot Thai Jasmine Sticky Rice and Thai Pineapple Vegetarian Curry for a delicious meal sep>"
7,"1 Chicken legs, 1/4 cup Hung Curd (Greek Yogurt),1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,1 teaspoon Sunflower Oil,1 Onion - sliced,4 cloves Garlic,1/2 inch Ginger,2 tablespoon Fresh coconut - grated,2 teaspoon Cumin seeds (Jeera) Seeds,1/4 teaspoon Methi Seeds (Fenugreek Seeds),1 teaspoon Whole Black Peppercorns,2 Dry Red Chillies,1 teaspoon Fennel seeds (Saunf),1/2 inch Cinnamon Stick (Dalchini),2 Cloves (Laung)","title: Chettinad Style Chicken Roast Recipe section> ingredients: 1 Chicken legs sep> 1/4 cup Hung Curd (Greek Yogurt) sep> 1/2 teaspoon Turmeric powder (Haldi) sep> Salt - to taste sep> 1 teaspoon Sunflower Oil sep> 1 Onion - sliced sep> 4 cloves Garlic sep> 1/2 inch Ginger sep> 2 tablespoon Fresh coconut - grated sep> 2 teaspoon Cumin seeds (Jeera) sep> 2 teaspoons Coriander (Dhania) Seeds sep> 1/4 teaspoon Methi Seeds (Fenugreek Seeds) sep> 1/4 teaspoon Kalonji (Onion Nigella Seeds) sep> 1 teaspoon Whole Black Peppercorns sep> 2 Dry Red Chillies sep> 1 teaspoon Fennel seeds (Saunf) sep> 1/2 inch Cinnamon Stick (Dalchini) sep> 2 Cloves (Laung) sep> 1 Cardamom (Elaichi) Pods/Seeds sep> 1/2 teaspoon Mustard seeds sep> 1 tablespoon Ghee sep> 1 teaspoon Tamarind Paste sep> 1 teaspoon Jaggery sep> 1 teaspoon Ghee sep> 1/2 teaspoon Mustard seeds sep> 1 sprig Curry leaves sep> 4 cloves Garlic section> directions: To begin making the Chettinad Style Chicken Roast Recipe, thoroughly wash and clean the chicken leg sep> Keep it aside sep> Heat oil in a heavy bottomed pan, on medium flame sep> Add onions, coconut, ginger and garlic and cook till the onions become soft and the coconut turn light brown in colour sep> Turn off the flame and grind to a coarse paste with a little water in a mixer grinder sep> The next step is to marinate the chicken sep> In a mixing bowl, add the onion coconut paste, yogurt, turmeric powder and chicken legs sep> Mix everything well and ensure that the chicken is properly quoted with the masala sep> Keep it aside for 30 Minutes sep> For the Chettinad Spice MixHeat a heavy bottomed pan sep> Add chettinad spice mix ingredients - includes cumin seeds, coriander seeds, fenugreek seeds, kalonji, black peppercorn, dry red chillies, fennel seeds, cinnamon stick, cloves, cardamom and mustard seeds sep> Dry roast them for about 2 minutes sep> Once done, let it cool down a bit sep> Now, add thes spices into a mixer grinder and grind it into a powder sep> Heat ghee in the same pan and add this Chettinad spice mix into the ghee sep> After 30 seconds, add the chicken along with all the marinade sep> Mix everything well, add the tamarind pulp, jaggery and 1/4 cup of water sep> Cover the pan and cook for about 8 to 10 minutes or till the chicken is 3/4th done sep> Turn off flame sep> Take out the chicken pieces seperatly and keep the masala aside sep> Heat a grill pan on high heat, until smoking hot and place only the chicken leg on it sep> Let this get a nice crispy skin by cooking it for about 5-7 minutes on each side sep> Once done, turn off the heat and keep the chicken piece on a plate sep> The final step is to temper the chicken sep> To make the tempering, heat ghee in a tadka pan on medium flame sep> Add mustard seeds, curry leaves and allow it to crackle sep> Add the chopped garlic and fry till golden brown sep> Turn off the flame"
8,"2 cups Ridge Gourd Skin (Turai/ Peerkangai),2 teaspoons White Urad Dal (Split),5 Methi Seeds (Fenugrek Seeds),3 Dry Red Chillies,10 Curry leaves,30 grams Tamarind,1/4 teaspoon Mustard seeds,2 Dry Red Chillies,3-4 Curry leaves,1 teaspoon Sunflower Oil,Salt - to taste.","title: Peerkangai Thogayal Recipe (Ridge Gourd Peel Chutney) section> ingredients: 2 cups Ridge Gourd Skin (Turai/ Peerkangai) sep> 2 teaspoons White Urad Dal (Split) sep> 5 Methi Seeds (Fenugreek Seeds) sep> 3 Dry Red Chillies sep> 10 Curry leaves sep> 30 grams Tamarind sep> 1/4 teaspoon Mustard seeds sep> 2 Dry Red Chillies sep> 3-4 Curry leaves sep> 1 teaspoon Sunflower Oil sep> Salt - to taste section> directions: To begin making the Peerkangai Thogayal Recipe, heat a teaspoon oil in a heavy bottomed pan; add the cut peels of the Ridge Gourd, along with a little salt and saute until soft and tender sep> Turn off heat and allow it to cool sep> The peels will not get completely soft, so its ok as long as they have cooked through sep> In another small pan; roast the fenugreek seeds, dry red chillies and urad dal until it releases a roasted aroma and slightly browned sep> Now grind the roasted ingredients, the cooked ridge gourd peels, the tamarind and curry leaves together until it forms a smooth paste sep> Check the salt in the Peerkangai Thogayal Recipe and adjust to suit your taste sep> Heat a little oil in a pan; add mustard seeds, dry red chillies and curry leaves sep> Allow it to crackle and the red chillies to roast sep> Add it to the Peerkangai Thogayal sep> Serve the Peerkangai Thogayal along with a hot bowl of Steamed Rice and Ghee sep>"
9,"1 cup Broken Wheat (Dalia/ Godumai Rava),Salt - to taste,1/2 teaspoon Sunflower Oil,1/3 cup Gram flour (besan),1 Onion - finely chopped,1 Green Chilli - finely chopped, 1/2 teaspoon Cumin seeds (Jeera),1/2 teaspoon Ajwain (Carom seeds),1 tablespoon Sunflower Oil,Water - as required to make a thick pakora batter.","title: Dalia Pakora Recipe - Dalia Pakora Recipe section> ingredients: 1 cup Broken Wheat (Dalia/ Godumai Rava) sep> Salt - to taste sep> 1/2 teaspoon Sunflower Oil sep> 1/3 cup Gram flour (besan) sep> 1 Onion - finely chopped sep> 1/4 cup Coriander (Dhania) Leaves - finely chopped sep> 1 Green Chilli - finely chopped sep> Salt - to taste sep> 1/2 teaspoon Turmeric powder (Haldi) sep> 1/2 teaspoon Cumin seeds (Jeera) sep> 1/2 teaspoon Ajwain (Carom seeds) sep> 1 tablespoon Sunflower Oil sep> Water - as required to make a thick pakora batter sep> 1 teaspoon Enos fruit salt sep> Sunflower Oil - as required to fry the pakoras section> directions: To make Oatmeal Pakora Recipe, we will first cook Dalia sep> Wash the panel and keep it aside sep> In a pressure cooker, add 2 cups of water, a little salt, oil, Dalia and mix sep> Close the pressure cooker and cook until 4 to 5 come to the city sep> Turn off the gas and let the pressure drain automatically sep> Open the cooker and if there is still water left then keep stirring on high heat and cook until all the water is gone sep> Take out the cooked pak in a large bowl and keep it aside to cool sep> After cooling, add gram flour, onion, coriander, green chillies, salt, turmeric powder, cumin, celery, oil, water and make a thick batter sep> Add ino fruit salt to it and mix sep> Now heat a paniyaram pan sep> Add oil to each cavity and after the oil is heated add a little oatmeal batter sep> Cook until golden brown and crisp from all sides sep> Serve sep> You can also fry these pakodas in a pan sep> Serve the dalia pakora recipe with coriander mint chutney and tamarind chutney sep> You can also serve a hot cup of masala tea with it sep>"
